CODE_GENDER,NAME_EDUCATION_TYPE_Higher_education,probability,true_class,pred_class
1,1.0,0.05578032797348766,0,0
0,0.0,0.07031264085496684,0,0
0,0.0,0.10088907941343367,0,0
0,1.0,0.011935654279660722,0,0
0,0.0,0.12890407229478032,0,0
1,0.0,0.027620368881568633,0,0
1,1.0,0.04539441570102201,0,0
0,0.0,0.029201944508451587,0,0
1,0.0,0.03432886181096014,0,0
0,0.0,0.24355649589781914,0,0
1,0.0,0.09201805675468479,0,0
0,0.0,0.016499853767166797,0,0
0,1.0,0.03145794458117953,0,0
0,0.0,0.16414527637214224,0,0
1,0.0,0.033105607053244515,0,0
1,0.0,0.07293754613628718,0,0
1,1.0,0.08666496532832235,0,0
0,0.0,0.12489327199877065,0,0
0,0.0,0.42889892287725995,1,0
1,0.0,0.024664765669235426,0,0
0,0.0,0.014153671472657814,0,0
0,0.0,0.11757435885754372,0,0
1,0.0,0.05573709454186797,0,0
0,0.0,0.0686157430814993,0,0
1,0.0,0.11584245102061443,0,0
1,0.0,0.09817053891335743,0,0
0,0.0,0.06409804319207377,0,0
0,0.0,0.013856361769628098,0,0
0,1.0,0.010137218420603614,0,0
0,1.0,0.003496179621688206,0,0
1,1.0,0.05213890791009301,0,0
1,0.0,0.025637115108839155,0,0
0,0.0,0.03311055517179284,0,0
0,0.0,0.04637764411795413,1,0
0,0.0,0.013617504637806898,0,0
1,1.0,0.023495555489647085,0,0
0,0.0,0.05922185604610434,0,0
1,0.0,0.27829119735366725,0,0
0,1.0,0.023039935920525233,0,0
0,0.0,0.15362080883445037,0,0
0,1.0,0.08764307064326819,0,0
1,0.0,0.12018402259027652,0,0
0,0.0,0.01804125666616371,0,0
0,1.0,0.03240559560511166,0,0
1,0.0,0.04070121118849713,0,0
0,1.0,0.27986766212279934,0,0
1,1.0,0.009137564650832935,0,0
1,0.0,0.06551244405256688,0,0
1,1.0,0.03165431783279445,0,0
0,0.0,0.019445815623737605,0,0
0,0.0,0.09419615863757283,0,0
0,0.0,0.15645147895249195,0,0
1,0.0,0.031245560776345088,0,0
0,0.0,0.051673266741652894,0,0
0,0.0,0.07753079373539848,0,0
0,1.0,0.08095536666653085,0,0
0,0.0,0.11152371296976257,0,0
0,0.0,0.028572158364096923,0,0
0,0.0,0.014814589699158878,0,0
0,0.0,0.5784619242804755,1,1
0,1.0,0.023788242242398477,0,0
0,0.0,0.11573736604493377,0,0
0,1.0,0.03186578692919473,0,0
0,0.0,0.103005631058273,0,0
0,0.0,0.019491687235225624,0,0
1,0.0,0.021195167992867667,0,0
1,0.0,0.2721777225385379,0,0
1,0.0,0.038317932582671056,0,0
1,0.0,0.10916177834574264,0,0
0,0.0,0.02081618767409122,0,0
1,0.0,0.15579563623195455,0,0
0,0.0,0.13355361536246907,0,0
0,0.0,0.0279635853344309,0,0
0,0.0,0.03991642242793436,0,0
0,1.0,0.2390394429084331,0,0
0,0.0,0.05461966612847091,0,0
1,0.0,0.3117181191039273,0,0
0,0.0,0.018520592875195974,0,0
1,0.0,0.08404610667220691,0,0
1,1.0,0.012190418407805237,0,0
0,1.0,0.058197447302486695,0,0
1,1.0,0.013790598426015646,0,0
0,0.0,0.13978139427594635,0,0
0,1.0,0.008912202849476733,0,0
0,0.0,0.034227335677967895,0,0
0,0.0,0.007974208109993065,0,0
1,1.0,0.02262742084249471,0,0
1,0.0,0.041176576729442346,0,0
0,0.0,0.38895348552844566,1,0
1,0.0,0.055090436638303146,0,0
0,0.0,0.14019592175220616,0,0
1,0.0,0.03590782568963952,0,0
0,1.0,0.021263491247263205,0,0
1,0.0,0.03413144338915385,0,0
0,0.0,0.030681057603557504,0,0
0,0.0,0.02240043278930042,0,0
0,0.0,0.29287567705092715,1,0
1,1.0,0.12895752378992228,0,0
1,0.0,0.07829057399854682,0,0
0,0.0,0.16684929177014776,0,0
1,0.0,0.028453620467675987,0,0
0,0.0,0.20146842746031746,0,0
0,1.0,0.012152686327479291,0,0
1,0.0,0.06846927724829531,0,0
0,0.0,0.37637532669555124,0,0
1,0.0,0.06127513482311116,0,0
